name,id,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,Category,Level,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
"Abrams, CJ",682928,1024,0.9022026431718062,794,72.244802256,0.23925781250000008,0.31863979848866497,0.2470703125,0.13476070528967254,0.1044921875,7.503694268,32,-18.94988637570394,230,0.224609375,379,0.3701171875,All,Average,682928,418,15.1,33,110,88.2,99.5,93.6,84,429,173,404,170,40.7,29,6.9,4.8
"Abreu, Wilyer",677800,756,0.907563025210084,557,74.554858995,0.4457671957671959,0.30700179533213645,0.2261904761904762,0.15978456014362658,0.11772486772486772,7.392287765,17,-9.747421622553595,199,0.26322751322751325,263,0.3478835978835979,All,Elite,677800,279,19.2,33.7,114.4,91.6,101.9,94.4,89.6,430,191,407,141,50.5,31,11.1,6.9
"Adames, Willy",642715,1185,0.906656465187452,861,73.597868658,0.33248945147679326,0.29036004645760743,0.2109704641350211,0.13472706155632985,0.0978902953586498,8.105363502,9,-7.247283888677827,324,0.27341772151898736,403,0.340084388185654,All,Elite,642715,440,20.6,38.2,112.3,88.6,99.8,93,83.4,446,192,400,179,40.7,53,12,7.7
"Adell, Jo",666176,797,0.9046538024971624,578,76.674033049,0.6587202007528232,0.2508650519031142,0.18193224592220827,0.1522491349480969,0.11041405269761606,7.555006148,20,-18.521812960013904,219,0.27478042659974905,262,0.328732747804266,All,Elite,666176,282,15.9,30.5,115.6,89.8,102.7,96.4,83.3,439,181,407,126,44.7,33,11.7,7.3
"Albies, Ozzie",645277,759,0.9046483909415972,617,69.090365995,0.07509881422924901,0.33063209076175043,0.26877470355731226,0.08103727714748785,0.06587615283267458,7.21294747,7,-23.29926064023966,142,0.18708827404479575,276,0.3636363636363637,All,Poor,645277,338,18.4,33.4,113.7,88.4,97.1,91.5,87,431,170,395,108,32,21,6.2,4.8
"Alonso, Pete",624413,992,0.9001814882032668,763,75.234998024,0.5181451612903224,0.2961992136304063,0.22782258064516128,0.18610747051114024,0.1431451612903226,7.318061079,19,-10.859541205083444,229,0.2308467741935484,387,0.3901209677419355,All,Elite,624413,440,14.4,30.5,116.3,89.8,102.8,95.3,86.1,471,171,409,204,46.4,58,13.2,8.3
"Altuve, Jose",514888,1007,0.8991071428571429,791,69.409635541,0.1300893743793446,0.3324905183312263,0.2611717974180735,0.0897597977243995,0.070506454816286,7.784342234,10,-17.93984501666338,216,0.21449851042701093,397,0.394240317775571,All,Poor,514888,509,14.1,34.8,108.4,86.5,97.3,89.1,84.3,438,157,390,159,31.2,33,6.5,4.8
"Alvarez, Yordan",670541,914,0.913086913086913,741,76.545736991,0.6301969365426694,0.3427800269905533,0.2778993435448578,0.22402159244264508,0.18161925601750548,7.582607888,1,23.156524913917657,173,0.1892778993435449,406,0.4442013129102845,All,Elite,670541,461,18.3,35.4,117,93.1,104.1,95.5,90.9,461,202,407,229,49.7,67,14.5,10.6
"Arcia, Orlando",606115,938,0.90279114533205,708,70.882941183,0.13539445628997873,0.3418079096045198,0.2579957356076759,0.1228813559322034,0.09275053304904052,7.908655672,25,-34.13291465120566,230,0.24520255863539445,373,0.3976545842217484,All,Average,606115,431,8.6,29.7,107.8,88.2,98.4,92.8,85.9,421,145,394,163,37.8,23,5.3,3.8
"Arenado, Nolan",571448,983,0.9010082493125572,840,70.749732157,0.12817904374364197,0.32261904761904764,0.27568667344862663,0.09166666666666666,0.07833163784333673,8.22087588,29,-14.948463946190618,143,0.14547304170905392,434,0.4415055951169888,All,Average,571448,493,16.9,35.9,107.5,86.3,96.9,88.9,84.6,425,164,384,156,31.6,16,3.2,2.5
