"last_name, first_name","player_id","year","on_base_plus_slg","xwoba","xwobacon","whiff_percent","swing_percent"
"Bregman, Alex",608324,2024,"0.768",".319",".338",12.8,44.9
"Hoskins, Rhys",656555,2024,"0.722",".301",".372",26.3,42.8
"Ruiz, Esteury",665923,2024,"0.652",".281",".365",30.1,50
"Sabol, Blake",666165,2024,"0.796",".327",".375",33.8,52.4
"Reynolds, Bryan",668804,2024,"0.791",".350",".420",29.4,50.4
"Kreidler, Ryan",668952,2024,"0.369",".231",".272",32,46.4
"Kiermaier, Kevin",595281,2024,"0.550",".232",".310",37.5,54.9
"Lee, Brooks",686797,2024,"0.585",".274",".299",20.2,52.3
"Anderson, Tim",641313,2024,"0.463",".230",".305",30.6,54.6
"Carlson, Dylan",666185,2024,"0.564",".250",".292",31,48.2
"Rice, Ben",700250,2024,"0.613",".340",".422",25.8,46
"Butler, Lawrence",671732,2024,"0.807",".342",".423",26.9,47.7
"De Los Santos, Luis",665782,2024,"0.467",".214",".277",26.4,43.8
"Pinto, René",650907,2024,"0.721",".330",".495",42.4,49.7
"Ward, Taylor",621493,2024,"0.749",".344",".419",25.5,43.2
"Duran, Jarren",680776,2024,"0.834",".342",".408",24.8,48.3
"Ornelas, Jonathan",680716,2024,"0.526",".244",".339",29.3,46
"Thaiss, Matt",642136,2024,"0.622",".291",".349",39.6,44.8
"Goldschmidt, Paul",502671,2024,"0.716",".329",".423",27.4,47.7
"Mullins II, Cedric",656775,2024,"0.710",".291",".320",19.2,51.4
"Naylor, Josh",647304,2024,"0.776",".335",".366",22.4,50.3
"Jackson, Alex",656577,2024,"0.438",".223",".283",39.7,52.7
"Sheets, Gavin",657757,2024,"0.660",".309",".353",23,46.2
"Sánchez, Jesús",660821,2024,"0.730",".343",".437",31.2,53.2
"McCormick, Chas",676801,2024,"0.577",".285",".353",31.3,53.2
"Hilliard, Sam",656541,2024,"0.812",".297",".436",40.8,46.9
"Hill, Derek",656537,2024,"0.691",".294",".421",35.2,54.2
"McKenna, Ryan",663630,2024,"0.910",".257",".352",18.5,51.9
"Ortega, Rafael",542364,2024,"0.247",".275",".300",29.6,39.7
"De La Cruz, Elly",682829,2024,"0.810",".328",".440",33.4,43.4
"Witt Jr., Bobby",677951,2024,"0.977",".407",".458",22.3,51.2
"Rosario, Amed",642708,2024,"0.686",".280",".337",24.6,55.2
"Gordon, Nick",624503,2024,"0.627",".263",".327",32,59.8
"Helman, Michael",680737,2024,"0.800",".114",".162",33.3,53.6
"Abreu, José",547989,2024,"0.362",".198",".227",29.7,51.2
"Báez, Javier",595879,2024,"0.515",".264",".326",30.2,52.4
"Walker, Jordan",691023,2024,"0.619",".278",".355",31.6,49.6
"Urshela, Gio",570482,2024,"0.647",".302",".337",20.3,54.6
"d'Arnaud, Travis",518595,2024,"0.738",".322",".402",32.8,50.7
"Trout, Mike",545361,2024,"0.866",".405",".483",20.5,42.5
"Toro, Abraham",647351,2024,"0.643",".291",".322",17.4,48.1
"Wynns, Austin",642851,2024,"0.979",".307",".388",25.6,52
"Springer III, George",543807,2024,"0.674",".322",".351",25.3,49.1
"Campero, Gustavo",672569,2024,"0.619",".251",".279",22.3,58.2
"Wells, Austin",669224,2024,"0.717",".339",".380",27.3,49.3
"Nuñez, Nasim",683083,2024,"0.632",".260",".232",19.5,40.7
"Farmer, Kyle",571657,2024,"0.646",".294",".322",22,48.5
"García, Avisaíl",541645,2024,"0.635",".293",".385",29.5,60.2
"Santander, Anthony",623993,2024,"0.814",".324",".364",20,49.7
"Vazquez, Luis",676679,2024,"0.226",".163",".224",48.4,60.8
