Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",704,0.188920454,0.242897727,0.777777777,0.322003577,0.458036984,0.701252236,1.15928922,0.379248659,3.920110021496349,0.367469879,1.7000000476837158,-1.2000000476837158,-0.8037865161895752,0.3662685975432396,176.15959543642595,93.8070330089052,0.4757340011100992,218.42537975678286,"Aaron Judge",15640,592450
"Shohei Ohtani","LAD",731,0.110807113,0.221614227,0.5,0.309748427,0.39010989,0.646226415,1.036336305,0.336477988,8.105655160534827,0.336470588,0.8000000715255737,1.600000023841858,0.954367458820343,8.798800624907017,156.33115792539346,70.82018756386266,0.43054929176412915,181.15414439501438,"Shohei Ohtani",19755,660271
"Kyle Tucker","HOU",339,0.16519174,0.159292035,1.037037037,0.288808664,0.407738095,0.584837545,0.99257564,0.296028881,4.62912995746382,0.282178217,-0.20000000298023224,0.20000000298023224,-1.7525924444198608,1.4265426397323608,69.31535649490658,29.659790212336215,0.4188836233035938,179.98714446496393,"Kyle Tucker",18345,663656
"Juan Soto","NYY",713,0.180925666,0.16690042,1.084033613,0.288194444,0.419354838,0.569444444,0.988799282,0.28125,4.300614076383838,0.297619047,-5,0.5,-1.8615641593933105,-1.964250959455967,146.7634593501984,63.35809427800763,0.4205848819428188,179.6323630976572,"Juan Soto",20123,665742
"Yordan Alvarez","HOU",635,0.108661417,0.149606299,0.726315789,0.307971014,0.392125984,0.567028985,0.959154969,0.259057971,3.845090797636476,0.316901408,-3.199999988079071,-0.800000011920929,-2.8020994663238525,-0.07857240736484528,120.99862006165301,46.717544576602336,0.40158736975397163,167.82060649985647,"Yordan Alvarez",19556,670541
"Bobby Witt Jr.","KCR",709,0.080394922,0.149506346,0.537735849,0.331761006,0.389280677,0.588050314,0.977330991,0.256289308,7.2023241576855455,0.35375494,2.799999713897705,2.0999999046325684,4.599363327026367,-0.07282041758298874,139.75057346715485,56.81312068148408,0.40973835374627793,167.54034664406979,"Bobby Witt Jr.",25764,677951
"Vladimir Guerrero Jr.","TOR",697,0.103299856,0.137733142,0.75,0.323051948,0.395982783,0.543831168,0.939813951,0.22077922,2.159302274889306,0.342105263,-5.399999976158142,-1.100000023841858,-3.6576731204986572,-1.9016806408762932,130.73860448194316,49.20488855583241,0.39789022276871394,165.02279452706466,"Vladimir Guerrero Jr.",19611,665489
"Brent Rooker","OAK",614,0.096091205,0.288273615,0.333333333,0.293040293,0.364820846,0.562271062,0.927091908,0.269230769,4.276088545836224,0.362275449,0.5,1.7000000476837158,1.047026515007019,-0.22255981713533401,112.35029903558612,40.52576305476546,0.39218441668103954,163.63141597278016,"Brent Rooker",19627,667670
"Carlos Correa","MIN",367,0.108991825,0.166212534,0.655737704,0.310344827,0.387978142,0.517241379,0.905219521,0.206896552,2.81785714,0.342741935,1.899999976158142,0.6000000238418579,0.22815556824207306,-0.8050270825624466,65.12188982968057,22.190937541470166,0.3853048369370771,155.4979003072439,"Carlos Correa",14162,621043
"Gunnar Henderson","BAL",719,0.108484005,0.221140472,0.490566037,0.28095238,0.364394993,0.528571428,0.892966421,0.247619048,6.711413310786194,0.319634703,2.700000047683716,2.299999952316284,2.8560359477996826,1.1119838654994965,125.35989116745752,41.252657665486744,0.38146476194387025,154.74504761804945,"Gunnar Henderson",26289,683002
